Feature,Speaker
"Gold Digger: In her back story. Subverted as she couldn't bring herself to marry Barry and left him at the altar in the pilot episode. She does, however, encourage Monica to date billionaire Pete Becker despite not loving him and gets very excited about having a 'money-themed' wedding.",Rachel
Guilty Pleasures: She claims her favorite movie is Dangerous Liaisons - it's actually Weekend at Bernie's. She also keeps steamy romance novels hidden under the pillow for late-night reading.,Rachel
"Has a Type: Rachel has a thing for doctors in the earliest seasons. The show brings up and then hastily backs away from the revelation that her father is a doctor. In season 9, she also starts being attracted to Joey, after she has a dream about him acting as Dr. Drake Ramoray. And in ""The One The Could Have Been"" she ends up developing feelings for Joey's character Dr. Drake Ramoray. Eventually, she ends up with  Ross, who's Not That Kind of Doctor.",Rachel
"Heterosexual Life-Partners: With Monica, who has been her best friend since childhood. Becomes this with Phoebe too - mostly in later seasons where they spend more time together.",Rachel
"Hypocrite: She becomes upset upon learning that Ross spread a rumor about her being a hermaphrodite during high school (which spread to other high schools in the area) and claims that she would never do a thing like that to him. Monica reminds her that she did spread a rumor about him (specifically about him hooking up with the older librarian). She claims what Ross did was worse because at least her rumor turned out to be true. Rachel declines pursuing Ross because he's in the middle of a divorce, claiming she doesn't go for divorced guys — Monica points out that she almost crashed Ross' wedding to tell him she still loved him. In ""The One That Could Have Been"", which takes place in an alternate timeline, she complains about men not respecting wedding vows after her husband cheats on her with the dog walker. Ross quickly points out that she just spent the night at Joey's with the intention of sleeping with him, which she blows off. She asks Ross to take Emily to the opera, saying that she thought that her and Ross have both moved on. When she finds out that Ross and Emily had a good time and have started dating, she acts jealous and annoyed.",Rachel
I Am Not My Father: Part of the reason she fights so hard to build her career is because she's determined not to end up like her mother: a Rich Bitch who's financially dependent on others and trapped in a loveless marriage.,Rachel
"Informed Attractiveness: Like Monica and Phoebe, she tends to get hyped up as absolutely gorgeous, especially since she's played by Jennifer Aniston who is normally considered to be a sex symbol.",Rachel
Inherently Attractive Profession: Rachel's obsession with doctors was something of a Running Gag. Paul Stevens (played by Bruce Willis) is an older guy who dates Rachel. She's delighted that he's a successful lawyer.,Rachel
In-Series Nickname: Rach.,Rachel
"It's All About Me: She's pretty self-absorbed. Examples include trying to crash Ross' wedding and earlier that season, she forced Ross to forgo his plans to have a private farewell dinner with Emily to throw a going-away party ""for Emily"" when really, it's just so she can win the affections of Joshua when she claimed they were throwing the party to get some one-on-one time with him.",Rachel
"It Tastes Like Feet: In the incident when she makes a half Trifle, half Shepherd's pie in ""The One Where Ross Got High"", Ross claims her resultant dish ""tastes like feet"".",Rachel
"Jerkass Has a Point: Invoked In-universe. When she was nine months pregnant and a much bigger Jerkass, she tells Ross not to call her “mommy” and that it’s bad enough he still calls his actual mother that; to which, Monica agrees with when Ross turned to her for support. Also she’s not wrong when she says that Ross has unresolved feelings for her as he says her name at the altar when he’s getting married to Emily.",Rachel
"Karma Houdini: During the misunderstanding between her, Joey and Ross when she thought Joey proposed to her, Ross fully blames Joey instead of her because she had his (Ross') baby. She once stole Monica's car and drove it without a license. When she was caught by traffic police for driving above the speed limit, she managed to get away with it by flirting. Ross later attempts to flirt when pulled over for driving too slow and is humiliated when it fails and he's unable to talk his way out.",Rachel
The Kirk: Of the women. She's The Kirk to Phoebe's The McCoy and Monica's The Spock.,Rachel
"Lethal Chef: Due to some pages of a cookbook sticking together, she bakes a concoction that is a half trifle and half shepard's pie.",Rachel
"Longest Pregnancy Ever: Lasting from May 2001 to August 2002. And then evoked in-verse, as she's two weeks overdue, and spends nearly a full 24 consecutive hours in labor.",Rachel
"Lovable Alpha Bitch: A former classmate mentions just how horrible she was in high school, but was friends with the unpopular Monica. She still retains some traits of this as a bratty and materialistic adult.",Rachel
"Love Makes You Dumb: Although it wasn't really love, just attraction, Rachel makes a total fool of herself when she has a crush on Joshua in season 4.",Rachel
"Love Makes You Evil: Downplayed. Every time she sees Ross with a new girlfriend, she will go to great lengths to make sure their relationship ends on a sour note. And not just Ross; she does it to every guy she develops a crush on, including Joey.",Rachel
"Love Revelation Epiphany: With Ross, who she only began to fall in love with after hearing secondhand that he loved her when Chandler lets the then-secret slip. When she goes to meet him at the airport upon his return from China, she comes face-to-face with his new girlfriend.",Rachel
"Mama Bear: When she hears Emma crying and realizes someone is in her room near Emma, not realizing it is Joey, she immediately threatens the person to get away from the crib. She also started a Cat Fight with her sister after Amy said Emma wasn't cute.",Rachel
"Ms. Fanservice: In early seasons, her nipples are visible through her shirt and she gets naked in the apartment the night before she and Ross go to Las Vegas (which Ross mistakes for a come-on), as well as being accidentally interrupted in the shower by Chandler. Her ""New Dress"" in the appropriately-titled episode is basically her very clad nightie.",Rachel
"My Beloved Smother: After Emma is born, she calls her doctor so often that he eventually drops her as a client. She then becomes worried Ross is sick with the one illness Emma has not been vaccinated for, rubella (despite clearly not knowing what rubella actually is).",Rachel
My Sister Is Off-Limits: She does this when Joey tries hitting on Jill and was upset when Ross develops a relationship with her as well.,Rachel
"Na?ve Newcomer: In season 1, she starts off as a na?ve, immature young woman who didn't know how to get an independent life for herself and didn't have many real friends.
Monica: Welcome to the real world. It sucks. You're going to love it.",Rachel
"Never My Fault: She blamed Ross for everything that went wrong in their relationship. She even tried to get him to sign a document that said so. She becomes such a Smug Snake about it that Ross snaps and leaves her.
Ross: *snaps* And for the record, it took two people to break up this relationship!
Rachel: *outraged* Yeah! You, and that girl from the copy place!",Rachel
"Not a Morning Person:
When she was stuck in Joey's bedroom during the brief apartment switch in season 4, she gets more than a little annoyed with the singing guy in the next building over waking her up every morning by loudly and enthusiastically singing. Needless to say, when Joey returned at the end of the episode, he joined in the singing as well and comments that he ""loves that guy"".
The apartment switch itself was the culmination of an Escalating War that started with Rachel being woken up a 6 am by the Chick crowing at the sun. Lampshaded by Monica when Rachel storms across the hall to yell at the guys for the noise.
Monica: Boy, you are really not a morning person—
Rachel: [through gritted teeth] BACK OFF!",Rachel
"Oblivious to Love: She often doesn't realize it when men are in love with her, until they tell her. It happens with Ross in season 1, with Joey in season 8 and with Gunther for the entire show until the last episode when he reveals his feelings to her.",Rachel
"One-Note Cook: In an episode of season 3 where, despite the others' doubts, the brownies she makes receive no complaints (and even then, the doubts only came after Phoebe quickly spit hers out, which only came from a painful toothache). The same can't be said for the rest of her cooking attempts.",Rachel
Plastic Bitch: It's revealed that she had a nose job when she was a superficial and spoiled teenager.,Rachel
"Playing Hard to Get: Rachel plays hard to get with Joshua and with Danny. When Danny misinterprets this and introduces her to one of his friends, she thinks he's playing hard to get.",Rachel
"Plucky Girl: Thanks to her determination, she becomes a successful career woman.",Rachel
"Runaway Bride: Rachel ran away from her wedding in the pilot. This was the first event in the series and the cause of many problems for her, so it's basically the 'setup' for Rachel's character. It was later revealed that her groom was already cheating on her and an alternate universe episode showed that had she actually married him, the marriage would have been miserable and eventually collapsed due to his infidelity.",Rachel
Secret Secret-Keeper: She finds out about Chandler and Monica's Secret Relationship when she accidentally overhears them talking on the phone. The couple have no idea she knows until Joey accidentally tells them a few episodes later.,Rachel
"Selective Obliviousness: For Ross' feelings, and later hers.",Rachel
"Spell My Name with an S: Sometimes, her name appears as Rachel Greene.",Rachel
"Spoiled Brat: In her back story, as she was spoiled by her father for most of her life, and has shades of it as an adult before Character Development, because she's used to getting everything she wants.",Rachel
"Sweater Girl: Not all the time (although this was The '90s), but enough that it's one of the things Monica mentions to make fun of her.
Monica: [mocking] ""Hi, I'm Rachel, is my sweater too tight? No? Oh, I'd better wash it and shrink it!""",Rachel
"Tomboy and Girly Girl: Girly Girl to Monica's Tomboy. Monica is a mild version of tomboy since she loves cleaning and cooking, but personality-wise, she's domineering, loud and hot-tempered and has a Masculine Girl, Feminine Boy relationship with Chandler. She also likes sports, including football, and is the most strong and athletic of the six friends, along with Joey. Rachel, on the other hand, is sweet, ditzy, interested in fashion and shopping, and unlike Monica, she's bad at sports.",Rachel
"Took a Level in Jerkass: Mainly in her treatment toward Ross, as both Ross and Rachel become petty to each other after their second break-up and in the following seasons.",Rachel
"Tsundere: Neatly summed up by Monica.
Monica: ""I'm Rachel. I love Ross! I hate Ross! I love Ross! I hate Ross!""",Rachel
"Unknowingly in Love: Downplayed, since Rachel knew she loved Ross in the past, but when Ross was about to marry Emily, Rachel was genuinely surprised when Phoebe made her realize that she was still in love with him. Rachel: Why didn't you tell me? Phoebe: We thought you knew. It was so obvious. It would be like saying to Monica ""Hey, you like things neat.""",Rachel
"Unrequited Love Switcheroo: Ross and Rachel do this so many times it's unbelievable. S1: Ross —> Rachel. S2: Rachel —> Ross. S3: Ross —> Rachel then Rachel —> Ross. S4/5: Rachel —> Ross. S6: Ross —> Rachel. S8/9: They swap per episode. S10: Ross —> Rachel. Later in the series, it happens with Joey. In season 8, Joey falls in love with Rachel, but she turns him down, and he falls out of it. In season 9, she's the one who has a crush on him when he's dating Charlie.",Rachel
"Unresolved Sexual Tension: With Ross. They would resolve it once, then something will go wrong, cue angry break-up, the UST will slowly build up again over time, over and over again.",Rachel
"Upper-Class Twit: In earlier seasons, when she was still recovering from her spoiled upbringing, she was clueless concerning any real-life skills, but thanks to Character Development she became a lot more sensible and capable.",Rachel
Vocal Dissonance: She has a younger voice in the Japanese dub.,Rachel
"""Well Done, Daughter!"" Gal: ""You hear that, guys? My Dad's proud of me!""",Rachel
"What Does She See in Him?: The salesman in ""The One with the Cop"" can't believe that a woman like Rachel used to date Ross.",Rachel
"What the Hell, Hero?: During the flight to London, the guy sitting next to Rachel (played by Hugh Laurie) calls her a ""horrible, horrible person"" for attempting to ruin Ross and Emily's wedding and to further add insult to injury, he agrees that Ross and her were on a break.",Rachel
"White Sheep: Though she's no saint, Rachel at least has several redeeming features compared to her parents and sisters, a lot of it coming from the Character Development she went through making it on her own over the course of the show. Lampshaded with her sister Jill, who was just as spoiled and vain as Rachel was in the beginning, she was similarly cut off by their father and told to go learn something from ""the one daughter he's proud of.""",Rachel
"Why Did It Have to Be Snakes?: Has a childhood fear of swings because she had an incident at 4 where her hair got stuck in the swing chain and she hat to cut off her hair, making it uneven.",Rachel
"Will They or Won't They?: Exaggerated, between her and Ross. It lasts almost the entire series. For reference, the Ross/Rachel UST was introduced in the first five minutes of the Pilot and lasts until the last five minutes of the finale, after ten years of Ship Tease. They don't fall into this trope only when they are actually dating, the second half of season 2 and the first half of season 3.",Rachel
"Womanchild: Rachel has a childish need to be the center of attention, refuses to take responsibility for her own actions, and constantly whines to her friends about her personal problems. Not to mention everything she does to sabotage Ross's relationships and all the arguments she gets into with him. She also insists on playing high-school mind games with men she's interested in in an effort to maintain control over her love life.",Rachel
"Yaoi Fangirl: In one episode, when she reveals that she had a sexual fantasy dream involving a threesome with Chandler and Joey, she notes that at some of the points, she was merely a spectator watching the two of them getting busy.",Rachel
'80s Hair: In the earlier seasons. Though it was one of the few styles (bangs) that managed to remain well into the mid-90's.,Monica
"Attention Whore: Often combined with her It's All About Me attitude in later seasons. However, it's mostly sympathetic since it likely stems from her childhood where her parents frequently ignored her and showered praise on Ross for every little thing he did.
Examples include when she gives a speech about her (and Chandler's) wedding.
Monica: Okay, umm, I just wanna say that... I love you guys so so much and thank you for being here on my special night. [Chandler clears his throat]... our special night. I mean it just wouldn’t be your, our night, if you all weren't here to celebrate with me... us... Damnit!
Chandler: It's okay, I want this to be your night too. [Raises his glass] To Monica.
Monica: Awww, come on, wait, stop it... okay, to Monica!
Her Egocentric Team Naming in ""The One with the Ball"".
Monica: Let's go, Team Monica!
[murderous glares]
Monica: Okay, we'll think of a name later.",Monica
"Berserk Button: Mostly involving tidiness. Anytime there's a competition, no matter how seemingly insignificant.",Monica
"Beta Couple: She and Chandler become this to main couple Ross and Rachel in the later seasons. However, they vary from the classic Beta couple mould as a lot of screen time is given to their developing relationship and they certainly face problems.",Monica
"Betty and Veronica: When Richard comes back in season 6 and still in love with her, she becomes The Archie to Chandler's Betty (her current and stable Love Interest) and Richard's Veronica (her troubled love from the past).",Monica
"Big Eater: She was shown to be like this as a child, most likely related to her numerous compulsive tendencies. Her parents were even once shown asking her to eat excess Thanksgiving leftovers when they ran out of space in the fridge and the show presented this as a typical request. Other examples were Ross going to get her a dozen Linzer Tortes as a snack, and her baking and eating dozens of cookies being a regular Friday night for her.",Monica
"Big ""NO!"": Gave one when she and Rachel lost the trivia contest.",Monica
"Boyish Short Hair: Her hair is at the shortest in season 4, even compared to the pilot. She grows her hair longer in later seasons again.",Monica
"Brainy Brunette: Being the mature Team Mom, she has more common sense than Rachel and Phoebe who are both fair-haired.",Monica
"Butt-Monkey: In the first couple of seasons, she was (along with Chandler) the one who the rest of the friends thought would never get married, and despite being the Team Mom, was viewed by the others as being too quirky and was often teased for it. Her parents give her a hard time about not being married, and not being Ross, pretty much whenever they can. This goes away pretty much entirely in the later seasons, though, if only to focus more on Chandler and Ross being this trope.  And also to help express the other characters surprise at Chandler getting married—to Monica, no less",Monica
"Cannot Keep a Secret: At one point, Monica learns that Gary is gonna ask Phoebe to move in with him, and asks that she doesn't tell Phoebe. Monica manages to hold out for a full 25 seconds before blabbing.",Monica
"Catchphrase: I KNOW! Her hyper-chipper ""OKAY!"" when all gets resolved. Her Big Nos are fairly epic.",Monica
"Childhood Friends: With Rachel, they grew up together. While they drifted apart during their college years, they become best friends again during in their mid twenties when Rachel moves in with Monica and Rachel ""grows up"" with her more practical friend.",Monica
"Clingy Jealous Girl: In one episode, she believes that Chandler is cheating on her with one of his co-workers.",Monica
"The Comically Serious: Monica is one of the most serious characters of the show, but she can be just as dramatic, childish and energetic as any of the others.",Monica
"Competition Freak: Particularly from season 5 onwards, she's obsessed with winning and proving she's better than the others.
Chandler: You know how competitive you get, and while I say it's cute, others disagree and I'm lying.",Monica
"Control Freak: Could easily be the Trope Codifier. Especially after Flanderization, she's a perfectionist who freaks out if something's slightly out of place.",Monica
"Cute Bruiser: Monica is the shortest of the main characters, but she's very strong and tough.",Monica
"Dark Horse Sibling: Zigzagged. She didn't start out this way with Ross having a doctorate, being the first of his friends to get married (to a great woman nonetheless), being a respected work of a museum, and getting papers published while she had a respectable if humble living. After the loss of her job, Monica slowly, but surely rebuilds her life and is the first of her friends to stay married, gets an amazing job at a high-end restaurant, and even moves into a nice house. While Ross ends up fine too, his path was more fluctuating and left behind a trail so embarrassing he's better off leaving the past in the past.",Monica
"Dating What Daddy Hates: Her parents dislike Chandler initially because they think he smoked pot (actually Ross did). They warm up to him though and thank him for 'taking on Monica'. They also disapprove of her relationship with Richard, not because they don't like him (he's their best friend), they just don't like him with their daughter.",Monica
"Determinator: Insanely loyal and stubborn, never get in the way when she's set her mind to something. Examples include losing something like half her body weight in a year to get revenge on her future husband, enduring horrible bullying to prove herself at her job and winning any game she plays through sheer willpower. This probably stems from her difficult childhood, where she was overshadowed by her older brother and frequently put down by her parents. To get anywhere, she had to work for it. Just getting past her mother's criticisms and emotional abuse belies her determination.",Monica
"Dude Magnet: Since losing weight, just as much as Rachel and Phoebe. Besides her three main love interests, she has multiple men hitting on her throughout the series, including Joey, Timothy Burke, Alan, Fun Bobby, Rachel's high school ex, a diplomatic translator and several one-off love interests. Her main issue is around finding a long-term relationship and not just flings, and she ultimately has fewer boyfriends than the other girls because she spends six seasons in a committed relationship with Chandler.",Monica
"Fat Best Friend: To Rachel, in their high school days. She was overweight, insecure, and lived in Rachel's shadow.",Monica
"Fat Comic Relief: Downplayed. The flashback and what could have been episodes do play off Monica's weight for laughs, like her parents assuming she'd finish off the leftovers and her getting stuck in a beanbag. But she is still the same character who is just more obsessed with food and isn't confident.",Monica
"Feminine Women Can Cook: Inverted. Monica is a professional chef, but she - especially post-Flanderization — is feisty, loud, competitive and downright domineering, especially with Chandler. By the last seasons, she was probably the least feminine of the girls. In ""The One with Rachel's Sister"", Monica bought a different set of wedding china than the ones Chandler picked out, because in her words, the ones Chandler picked out were ""too feminine.""",Monica
"The Finicky One: Obsessed with cleanliness, controlling over even the most simple of past times and known to fits of neurotics when the slightest thing is out of place.",Monica
"Flanderization: Her neatness, bossiness and competitiveness. Possibly justified as her job as a head chef is not only incredibly stressful but requires a headstrong personality.",Monica
"Formerly Fat: Former Trope Namer. Monica was famously very fat in her younger days and many jokes on the show revolve around this. Her ""Fat Monica"" version is often seen in flashback episodes.",Monica
"Girl Next Door: More so in early seasons, as she becomes bossier post-flanderization. She is down to earth, maternal, and The Heart of the group. She lives across the hall from Joey (who was originally going to be her love interest) and Chandler (her eventual boyfriend and husband).",Monica
Go-Getter Girl: An adult version of a hard-working woman who strives to be perfect in every respect.,Monica
"Happily Married: To Chandler in the last three seasons. The universe puts them through a lot early on: a long-distance relationship, unemployment, and  infertility, but they remain incredibly happy and adore each other. They're especially impressive given their significant emotional baggage that stacks the odds against them. Namely, Chandler's parent's terrible marriage and home life which caused his Commitment Issues, Monica's insecurity from Parental Neglect and their highly neurotic natures.",Monica
"The Heart: Ross even called her ""the glue that holds the group together"". She's Ross' sister, Rachel's friend since childhood, Chandler's Love Interest, Phoebe's former roommate who introduced her to her other friends, and Joey's mother figure, especially when it comes to food.",Monica
"Heterosexual Life-Partners: With Rachel. They have been friends their whole lives who drifted apart during their college years. They become best friends again during in their mid-twenties when Rachel moves in with Monica and Rachel ""grows up"" with her more practical friend. With Phoebe too, them living in the same apartment before the start of series.",Monica
"Hot-Blooded: She shares this trait with her brother Ross, as they are both fiercely competitive, intense and passionate.",Monica
"Hypocrite: Called Ross immature for not trusting Rachel when Mark got involved even though she ran out on her wedding, but when Chandler was with the regional vice president (who was very attractive) she became incredibly jealous even though Chandler didn't show the slightest bit of attraction.",Monica
"Hypocritical Heartwarming: A pretty common theme about her relationship with Chandler, as she could be pretty domineering with him, but was fiercely loyal the instant anyone else bothered him. Best seen while getting their photos for their wedding announcement and Chandler is failing miserably.
Monica: This photo is supposed to say ""Geller and Bing to be Married"", not ""Local Woman Saves Drowning Moron."" [the photographer laughs] Hey, don't laugh at him. He's my drowning moron.",Monica
I Am Not My Father: Or mother in her case. Determined not to end up like Judy.,Monica
"Informed Deformity: Fat Monica. From the way everybody on the show talks, you'd think she was a two ton blimp. She's notably larger than average, but not that big (mildly obese, at most).",Monica
"Informed Judaism: The Gellers' religious affiliation isn't clear until season 7, when Ross appears as the Holiday Armadillo, and then the only other mention is three seasons later, when Chandler has to remind Monica she can't be a minister because she's Jewish. Considering the care she gives to decorating the Christmas tree, we might not have known. The creators have said in the past that Jack Geller is Jewish, whilst Judy is not.",Monica
"Innocent Beta Bitch: She was this to Rachel when they were in high school. As seen in the flashbacks, Rachel was a spoiled cheerleader (and confirmed to be an Alpha Bitch by some old classmates), while Monica was her insecure and naive Fat Best Friend. However, in the present day, Monica has the more dominant personality of the two.",Monica
Innocently Insensitive: Her perfectionist attitude can rub people the wrong way without meaning to: She once got an offer to make an entire menu for a new restaurant and wanted to hire her more experienced coworker as a waitress over Rachel who needed the money more. She feels uncomfortable letting Rachel and Chandler moving things they like into her apartment because it doesn't match the furniture even though it's their apartment too in the respective seasons,Monica
In-Series Nickname: Mon.,Monica
"It's All About Me: Sometimes, including her response to Rachel saying her pregnancy isn't as big a deal as Monica's wedding ""Of course not, nothing is!""; literally saying the wedding is all about her.",Monica
"Jerkass Ball: Grabs it in ""The One with Phoebe's Wedding"", where Phoebe gets justifiably tired of her control freaking the wedding rehearsal. She never says sorry, gloats when Phoebe freaks out at having to do everything on her own wedding day, and Phoebe has to beg her to come back.",Monica
"Like Brother and Sister: With Joey in later seasons. This is mainly because Monica gets together with Chandler, who Joey considers his ""brother"" and the trio form a mini-family within the True Companions. Monica feeds Joey for years, they include a ""Joey Room"" in their new house, and frequently act as his older sibling.",Monica
"Like Mother, Like Daughter: Seeks to avert this. Judy emotionally abuses her in the same way her grandmother abused Judy. As Monica's aware of this, adores children and is generally kind-hearted, it's implied she'll break the cycle.",Monica
"Mama Bear: While not as pronounced as her general Team Mom behavior, she's very protective of the other girls, as well as Chandler, particularly after they become a couple.",Monica
"Masculine Girl, Feminine Boy: Masculine Girl to Chandler's Feminine Boy. In one episode, Monica bought a different set of wedding china than the ones Chandler picked out, because in her words, the ones Chandler picked out were ""too feminine.""",Monica
Ms. Fanservice: Perhaps more so than Rachel. She is seen in lingerie and seductive clothes very often.,Monica
"Muscles Are Meaningless: She has a pretty slender, wiry build in the present day but is frequently implied to be ""freakishly strong"" and underestimates her own strength. She's able to easily subdue a panicky Rachel while trying to put drops in her eyes, gives back massages that border on torture, and after a painful handshake with her, Phoebe comments that she's glad she's not Chandler. According to Ross, the only person in the group stronger than her is Joey.",Monica
"My Beloved Smother: When she gets caught up in the moment of her adopted son being born, she tells him that she's ""gonna love [him] so much that no woman is ever gonna be good enough for [him].""",Monica
"Mysterious Middle Initial: Her middle name begins with an ""E"" but the audience never learns what it is. Apparently even Phoebe doesn't know Monica's middle name as she has to guess it when signing for a delivery.",Monica
"Neat Freak: She can't sleep after she willingly leaves her shoes in the living room in order to prove she's not as much of a Neat Freak as everybody thinks. Everybody's right, of course. Also, she vacuums her vacuum cleaner with a smaller one, and wishes for an even smaller one to clean the second.",Monica
"The Reliable One: She's the go-to person for support, advice and comfort, the designated cook, and always up for menial tasks.",Monica
"Savvy Guy, Energetic Girl: Chandler's Savvy Guy and Monica's Energetic Girl. Monica is a Hot-Blooded go-getter, while Chandler is a snarky Straight Man.",Monica
